Entity,gdp_per_capita
Afghanistan,505
Albania,4917
Algeria,3899
Angola,3095
Antigua and Barbuda,15726
Argentina,11567
Armenia,4120
Aruba,29352
Australia,53513
Austria,48550
Azerbaijan,4359
Bahamas,Not Available
Bahrain,22880
Bangladesh,1696
Barbados,17112
Belarus,6089
Belgium,45069
Belize,4800
Benin,1195
Bermuda,111182
Bhutan,3157
Bosnia and Herzegovina,5732
Botswana,7078
Brazil,8697
Bulgaria,9068
Burkina Faso,776
Burundi,244
Cambodia,1471
Cameroon,1508
Canada,44725
Cayman Islands,84504
Central African Republic,458
Chad,691
Chile,14523
China,9479
Colombia,6147
Comoros,1369
Congo,Not Available
Costa Rica,12311
Croatia,14166
Cuba,8806
Cyprus,27457
Czechia,Not Available
Denmark,58941
Djibouti,3140
Dominica,7713
Dominican Republic,7698
Ecuador,6078
Egypt,Not Available
El Salvador,3947
Equatorial Guinea,8897
Eritrea,Not Available
Estonia,21629
Eswatini,3757
Ethiopia,810
Fiji,5861
Finland,47484
France,39381
Gabon,7365
Gambia,Not Available
Georgia,4421
Germany,45521
Ghana,2152
Greece,18590
Grenada,10067
Guatemala,4470
Guinea,959
Guinea-Bissau,736
Guyana,6330
Haiti,1345
Honduras,2440
Hungary,15375
Iceland,67336
India,1948
Indonesia,3860
Iraq,5116
Ireland,75529
Israel,41658
Italy,32646
Jamaica,5062
Japan,39814
Jordan,4281
Kazakhstan,9142
Kenya,1749
Kiribati,1642
Kuwait,29599
Kyrgyzstan,Not Available
Latvia,16698
Lebanon,7152
Lesotho,1061
Liberia,696
Libya,5811
Lithuania,18166
Luxembourg,112636
Madagascar,502
Malawi,519
Malaysia,10660
Maldives,9310
Mali,849
Malta,28547
Mauritania,1648
Mauritius,10220
Mexico,9200
Mongolia,3994
Montenegro,8049
Morocco,3091
Mozambique,470
Myanmar,1255
Namibia,4938
Nauru,10617
Nepal,1095
Netherlands,50491
New Caledonia,34385
New Zealand,42115
Nicaragua,2023
Niger,542
Nigeria,2100
North Macedonia,5739
Norway,74255
Oman,17047
Pakistan,1359
Panama,14664
Papua New Guinea,2717
Paraguay,5434
Peru,6606
Philippines,3247
Poland,14647
Portugal,22095
Puerto Rico,31696
Qatar,58919
Romania,11710
Rwanda,784
Saint Kitts and Nevis,Not Available
Saint Lucia,Not Available
Saint Vincent and the Grenadines,Not Available
Samoa,4189
Sao Tome and Principe,1923
Saudi Arabia,21454
Senegal,1398
Serbia,6890
Seychelles,14797
Sierra Leone,513
Singapore,62028
Slovakia,Not Available
Slovenia,24537
Solomon Islands,2313
Somalia,404
South Africa,6347
South Sudan,Not Available
Spain,28315
Sri Lanka,3911
Sudan,784
Suriname,6175
Sweden,52912
Switzerland,85049
Tajikistan,852
Thailand,6978
Togo,869
Tonga,4588
Trinidad and Tobago,16305
Tunisia,3678
Turkey,9719
Turkmenistan,6889
Tuvalu,3746
Uganda,775
Ukraine,3062
United Arab Emirates,40322
United Kingdom,42027
United States,62014
Uruguay,17447
Uzbekistan,1951
Vanuatu,3000
Yemen,Not Available
Zambia,1325
Zimbabwe,1297
